3565	 1045	 5187	  27	
1891	 644	 1235	  154	
2846	 924	 1384	  368	
3841	 1221	 1498	  607	
3766	 1465	 1561	  866	
4070	 1723	 1539	  1289	
4621	 1869	 1425	  1654	
5141	 1668	 1401	  2186	
4622	 1495	 1260	  2362	
3828	 1378	 1181	  2082	
3297	 1261	 1049	  1959	
2979	 1239	 953	  1680	
2886	 1050	 890	  1522	
2819	 964	 919	  1241	
2751	 967	 1055	  1160	
2751	 888	 947	  1081	
3123	 776	 848	  1033	
3260	 805	 783	  942	
3159	 777	 783	  897	
3180	 681	 685	  745	
2949	 665	 724	  769	
2737	 654	 667	  712	
2630	 611	 704	  712	
2417	 563	 691	  698	
2159	 595	 641	  639	
2035	 511	 633	  618	
1816	 578	 672	  649	
1657	 560	 633	  658	
1645	 568	 655	  653	
1482	 516	 583	  664	
1460	 598	 634	  696	
1371	 551	 635	  708	
1388	 570	 558	  707	
1360	 583	 579	  716	
1286	 583	 524	  741	
1208	 598	 565	  756	
1264	 588	 501	  743	
1188	 657	 558	  809	
1160	 638	 506	  875	
1131	 606	 475	  854	
1060	 668	 495	  994	
1025	 679	 460	  989	
1005	 687	 478	  1003	
964	 756	 492	  1066	
914	 745	 464	  1114	
950	 801	 475	  1273	
874	 775	 451	  1370	
835	 870	 442	  1388	
828	 835	 476	  1381	
810	 915	 509	  1485	
746	 951	 464	  1499	
710	 990	 469	  1510	
729	 1092	 462	  1538	
726	 1165	 419	  1544	
695	 1201	 429	  1535	
644	 1256	 454	  1499	
678	 1282	 412	  1548	
660	 1333	 449	  1527	
574	 1372	 444	  1517	
595	 1329	 491	  1502	
577	 1385	 484	  1481	
599	 1338	 483	  1435	
575	 1334	 466	  1503	
593	 1312	 500	  1390	
598	 1272	 511	  1407	
605	 1282	 538	  1440	
592	 1287	 502	  1408	
511	 1206	 529	  1387	
502	 1320	 505	  1360	
505	 1335	 523	  1380	
498	 1306	 500	  1294	
488	 1276	 501	  1407	
475	 1317	 489	  1289	
478	 1300	 475	  1344	
478	 1245	 480	  1247	
561	 1286	 512	  1304	
510	 1268	 474	  1285	
564	 1277	 458	  1227	
513	 1193	 431	  1274	
484	 1220	 403	  1205	
429	 1198	 473	  1214	
421	 1207	 485	  1229	
483	 1199	 509	  1248	
481	 1253	 542	  1222	
492	 1265	 529	  1103	
485	 1279	 574	  1012	
413	 1218	 595	  997	
431	 1245	 660	  967	
478	 1177	 680	  1007	
538	 1181	 661	  948	
500	 1126	 699	  1035	
411	 1060	 718	  998	
491	 1028	 736	  931	
501	 1030	 692	  914	
543	 1051	 710	  956	
583	 1020	 786	  901	
580	 983	 819	  818	
526	 1025	 848	  709	
467	 1049	 893	  658	
531	 1076	 904	  658	
592	 934	 926	  610	
579	 972	 1005	  600	
627	 894	 1008	  657	
503	 779	 1032	  603	
409	 739	 1049	  584	
438	 760	 1033	  632	
555	 767	 1081	  512	
644	 732	 1099	  554	
618	 735	 1085	  538	
558	 734	 1099	  547	
595	 783	 1082	  519	
426	 694	 1121	  555	
495	 714	 1140	  544	
632	 741	 1116	  507	
651	 717	 1100	  521	
643	 718	 1117	  518	
540	 715	 1150	  499	
465	 623	 1128	  501	
535	 596	 1196	  486	
593	 598	 1131	  516	
541	 560	 1158	  552	
525	 572	 1039	  543	
571	 495	 1074	  530	
549	 544	 1108	  545	
596	 513	 1109	  517	
604	 536	 1039	  566	
556	 499	 1040	  600	
563	 495	 1018	  644	
531	 484	 1057	  803	
584	 536	 934	  885	
648	 511	 1042	  1027	
598	 495	 1078	  942	
549	 516	 1040	  995	
588	 471	 1059	  913	
672	 482	 1027	  798	
603	 461	 1021	  816	
638	 448	 1017	  793	
588	 420	 929	  673	
571	 431	 929	  592	
561	 453	 944	  716	
516	 408	 916	  845	
489	 409	 892	  444	
515	 389	 883	  425	
441	 427	 837	  373	
437	 417	 725	  377	
416	 357	 715	  403	
394	 386	 764	  376	
416	 387	 732	  345	
477	 365	 799	  359	
456	 426	 858	  425	
455	 374	 804	  480	
436	 390	 783	  417	
442	 395	 683	  391	
404	 355	 628	  390	
409	 404	 528	  458	
415	 397	 539	  507	
